scenario,percentile,material,income_level,total_gap
1,25,concrete,NA,0.10076959059364073
1,25,concrete,L,2.7668915805404075
1,25,concrete,LM,11.022457292428234
1,25,concrete,UM,1.0289441725993616
1,25,concrete,H,0.2050379818069147
2,25,concrete,NA,0.12701322378405597
2,25,concrete,L,3.3490564044324183
2,25,concrete,LM,13.87124377687871
2,25,concrete,UM,1.1778859012575111
2,25,concrete,H,0.22670718311332164
3,25,concrete,NA,0.15570697204548103
3,25,concrete,L,3.950600139583316
3,25,concrete,LM,16.872467665292763
3,25,concrete,UM,1.3652671864984147
3,25,concrete,H,0.2519433377618832
4,25,concrete,NA,0.18537664414647628
4,25,concrete,L,4.564335562000515
4,25,concrete,LM,19.964887041835308
4,25,concrete,UM,1.6016739137778688
4,25,concrete,H,0.28136538269306055
5,25,concrete,NA,0.21747784993249986
5,25,concrete,L,5.19277284178939
5,25,concrete,LM,23.154813463747338
5,25,concrete,UM,1.8797102560291208
5,25,concrete,H,0.31594797420026255
6,25,concrete,NA,0.2523097007735662
6,25,concrete,L,5.827201089506304
6,25,concrete,LM,26.451704866507175
6,25,concrete,UM,2.2024931453424452
6,25,concrete,H,0.3548954142782667
7,25,concrete,NA,0.2889484921380089
7,25,concrete,L,6.473021821065401
7,25,concrete,LM,29.814952236436994
7,25,concrete,UM,2.614807690047365
7,25,concrete,H,0.39975882768030735
8,25,concrete,NA,0.3288691347467704
8,25,concrete,L,7.126018023700859
8,25,concrete,LM,33.23379815972182
8,25,concrete,UM,3.1658308557150296
8,25,concrete,H,0.45454257566479794
9,25,concrete,NA,0.3745214608320816
9,25,concrete,L,7.788717272769794
9,25,concrete,LM,36.70900375029805
9,25,concrete,UM,3.7888074358407593
9,25,concrete,H,0.5163582159879907
10,25,concrete,NA,0.42590864266912054
10,25,concrete,L,8.460202436067112
10,25,concrete,LM,40.24845049999148
10,25,concrete,UM,4.486829564185463
10,25,concrete,H,0.5987273340878022
1,25,steel,NA,0.007448049768082547
1,25,steel,L,0.22644601190370525
1,25,steel,LM,0.7335469571678132
1,25,steel,UM,0.15191114764600677
1,25,steel,H,0.018091333075127104
2,25,steel,NA,0.01015654067621159
2,25,steel,L,0.2638803331263223
2,25,steel,LM,0.9173335237086347
2,25,steel,UM,0.20930558426595938
2,25,steel,H,0.024871202503741963
3,25,steel,NA,0.013089184510537996
3,25,steel,L,0.3019122733587635
3,25,steel,LM,1.1104442317056036
3,25,steel,UM,0.2800564655724596
3,25,steel,H,0.034655929164069364
4,25,steel,NA,0.01619741388657908
4,25,steel,L,0.3401421724898424
4,25,steel,LM,1.3087428572078355
4,25,steel,UM,0.36433197264178346
4,25,steel,H,0.048682399299135426
5,25,steel,NA,0.019569156007391238
5,25,steel,L,0.378493145717716
5,25,steel,LM,1.5111879070846406
5,25,steel,UM,0.4600487825503154
5,25,steel,H,0.06621899511037685
6,25,steel,NA,0.023035802910548527
6,25,steel,L,0.41690427999324386
6,25,steel,LM,1.716703379768579
6,25,steel,UM,0.5674841733572648
6,25,steel,H,0.08765422664340387
7,25,steel,NA,0.026536920859206944
7,25,steel,L,0.4553833217262866
7,25,steel,LM,1.9248606919005224
7,25,steel,UM,0.686699883656891
7,25,steel,H,0.11345376499597898
8,25,steel,NA,0.030064319118362083
8,25,steel,L,0.49390342481895017
8,25,steel,LM,2.1351581424026715
8,25,steel,UM,0.8151021052000947
8,25,steel,H,0.14287001738150484
9,25,steel,NA,0.033615912004788945
9,25,steel,L,0.5324386650543107
9,25,steel,LM,2.34681332132052
9,25,steel,UM,0.9539955016700602
9,25,steel,H,0.1757762594538216
10,25,steel,NA,0.037184469111023764
10,25,steel,L,0.5709741290928743
10,25,steel,LM,2.559779642431574
10,25,steel,UM,1.0989426615228848
10,25,steel,H,0.2118158731364614
1,50,concrete,NA,0.034194296321564864
1,50,concrete,L,3.057215650152707
1,50,concrete,LM,3.7199530238468412
1,50,concrete,UM,1.4091116631177292
1,50,concrete,H,0.38655167980773286
2,50,concrete,NA,0.03939724722757824
2,50,concrete,L,3.6796753212208118
2,50,concrete,LM,4.997197056134764
2,50,concrete,UM,1.5464172766501143
2,50,concrete,H,0.4198778885809568
3,50,concrete,NA,0.04869653693228174
3,50,concrete,L,4.323457688022397
3,50,concrete,LM,6.512663026759562
3,50,concrete,UM,1.6946082627329022
3,50,concrete,H,0.4576625013688589
4,50,concrete,NA,0.061065658159589455
4,50,concrete,L,4.976949182223296
4,50,concrete,LM,8.233627606538548
4,50,concrete,UM,1.8558110492659516
4,50,concrete,H,0.4993705956063173
5,50,concrete,NA,0.0763623780010843
5,50,concrete,L,5.645253296800923
5,50,concrete,LM,10.23871264426407
5,50,concrete,UM,2.034850899606927
5,50,concrete,H,0.5466700664010438
6,50,concrete,NA,0.0943627301398251
6,50,concrete,L,6.3348743980746836
6,50,concrete,LM,12.521465475955843
6,50,concrete,UM,2.2299476238807956
6,50,concrete,H,0.5978852339633525
7,50,concrete,NA,0.11544383241029918
7,50,concrete,L,7.0417571884128405
7,50,concrete,LM,15.027495091142136
7,50,concrete,UM,2.450787088090411
7,50,concrete,H,0.6526591465676124
