ADM0_NAME,n_adm2,gini_concrete_cap,gini_steel_cap
Afghanistan,328.0,0.6632797346529533,0.6576945052343851
Albania,37.0,0.20924648209169927,0.1963484799055225
Algeria,1504.0,0.2774485296506177,0.2750290095215897
American Samoa,16.0,0.4243192396099179,0.426480736876545
Angola,163.0,0.4065429454432776,0.4228841060585664
Argentina,502.0,0.22511571328941016,0.22876397258836034
Arunachal Pradesh,14.0,0.4761868473540338,0.4931776130736507
Australia,566.0,0.20175437592090395,0.19552126882803367
Austria,94.0,0.232862910653874,0.2000077281987389
Azerbaijan,79.0,0.34244077503829096,0.3476503242145673
Bangladesh,64.0,0.3392760381512191,0.3244174550641199
Belarus,118.0,0.10359600165626237,0.09068010142531857
Belgium,11.0,0.10953935466298548,0.09236681615062592
Benin,78.0,0.4169679310532667,0.44277543615269777
Bhutan,205.0,0.6690913831040929,0.668453043644629
Bolivia,112.0,0.2065896324115435,0.19963925188908216
Bosnia and Herzegovina,18.0,0.09552167695219049,0.09479062383892345
Botswana,30.0,0.3649949859742292,0.3786716829442258
Brazil,5572.0,0.26498660620674974,0.2633141856916701
Brunei,36.0,0.2553411661895325,0.25838337123771826
Bulgaria,263.0,0.24256108016106415,0.21212985289947617
Burkina Faso,45.0,0.3762636154407346,0.40449928697078774
Burundi,129.0,0.821793676641972,0.8360947483047358
Cambodia,197.0,0.7176336530647143,0.7476908852395701
Cameroon,58.0,0.37130605656600213,0.3839177968104479
Canada,289.0,0.13078612600700157,0.185655902435093
Central African Republic,51.0,0.5936683867676078,0.6086228517246739
Chad,55.0,0.739211390888492,0.7531486771168237
Chile,56.0,0.15349812289869524,0.14751157479859667
China,364.0,0.2507609717984647,0.2537674212224028
Colombia,1119.0,0.3063544915393669,0.3009466533809859
Costa Rica,82.0,0.33748427355463284,0.3405265621498954
Croatia,560.0,0.25907671872129534,0.23642826716610799
Cuba,168.0,0.326754914168472,0.32662543427003765
Czechia,98.0,0.14319357871017646,0.13670844476680877
Côte d'Ivoire,33.0,0.1471883424881234,0.16013574261772268
Democratic Republic of the Congo,237.0,0.8016793697270393,0.8157024779010755
Denmark,99.0,0.15623949319193742,0.13393306272888306
Djibouti,21.0,0.3373832664233558,0.3590661764333024
Dominican Republic,155.0,0.21434779148509964,0.21933827663476646
Ecuador,223.0,0.20199754005573556,0.20016576819669263
Egypt,337.0,0.41835505440298293,0.44014731958992304
El Salvador,262.0,0.382061935920322,0.37548517693331196
Equatorial Guinea,32.0,0.7183464988625432,0.7389777041629555
Eritrea,50.0,0.7447332249048274,0.7592613074481944
Estonia,221.0,0.3716584497686699,0.3641255204624221
Ethiopia,79.0,0.3868573178512844,0.43304633889700817
Faroe Islands,30.0,0.2682069523792693,0.2682069527952494
Fiji,15.0,0.34925251849110484,0.39872681786902864
Finland,21.0,0.0959183379837466,0.08546697391831781
France,96.0,0.14262660948632522,0.127237280123067
French Guiana,21.0,0.3264779773528732,0.32598805634665007
Gabon,37.0,0.30049647642893196,0.3294954772060863
Gambia,37.0,0.44945588875455744,0.4677857288564973
Georgia,69.0,0.29674367951869596,0.28891412862040633
Germany,402.0,0.16559381237437876,0.15848622414146174
Ghana,260.0,0.49195478613713683,0.5245474598392611
Greece,14.0,0.08710777103990619,0.0608547007343474
Guadeloupe,32.0,0.2252504213623041,0.23855894180943893
Guatemala,352.0,0.4171675176018542,0.41456619456205646
Guinea,34.0,0.4634043164007847,0.4933988397109894
Guinea-Bissau,37.0,0.5682882871938049,0.5732836461118094
Guyana,114.0,0.4443807672660235,0.4441547169101805
Haiti,41.0,0.48168533134778835,0.4834698232218174
Honduras,298.0,0.1931647910816615,0.19134701146986077
Hungary,168.0,0.15878294198384246,0.1433369789650516
Iceland,109.0,0.21848844779825405,0.21620983734194965
India,634.0,0.28417243340883336,0.2818527221863196
Indonesia,498.0,0.3032405780104196,0.28296913175453264
Iran,268.0,0.19972132612173876,0.20409850395955997
Iraq,102.0,0.3202716666845866,0.3290560116189316
Ireland,106.0,0.13681541527082852,0.11588705160347945
Italy,110.0,0.13795955224216327,0.12875790760733152
Jammu and Kashmir,22.0,0.3062530962693021,0.2916058799023571
Japan,1809.0,0.18815792534938514,0.19506507265084627
Jordan,52.0,0.27064655128662074,0.3165975058006505
Kazakhstan,174.0,0.26712012296819654,0.2503809486671268
Kenya,300.0,0.5621725933394152,0.6006839683898356
Kosovo,30.0,0.16901789425101665,0.1801468901771478
Kyrgyzstan,42.0,0.2473544721563643,0.2420301640662349
Laos,142.0,0.5661691252741372,0.5915858945121693
Latvia,26.0,0.06831344140933626,0.05958582321719019
Lebanon,30.0,0.2654533027132532,0.27076021399472516
Liberia,66.0,0.5091977484496286,0.5225651128134114
Lithuania,48.0,0.10298247534687421,0.10466059898520763
Luxembourg,12.0,0.1240141304154655,0.09776652044674317
Madagascar,22.0,0.42880024024120145,0.4620201363298382
Malawi,243.0,0.5576529304600948,0.5820140087748548
Malaysia,144.0,0.1964193621142042,0.23151750801705073
Mali,50.0,0.39241126364868817,0.40956246516141037
Malta,67.0,0.6915884698640724,0.6990713057764919
Martinique,32.0,0.2188488222289091,0.23585782430022628
Mauritania,44.0,0.4120851435255536,0.4281079019777272
Micronesia,74.0,0.6529199809190733,0.6607199421055833
Mongolia,326.0,0.17458000998063739,0.18602620704222694
Morocco,54.0,0.263492057952492,0.2884788294293753
Mozambique,129.0,0.516631128654394,0.5347897268612136
Myanmar,63.0,0.355193496034796,0.38098778965813695
